STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
25,009,206000,3359,+42.465615,-070.962032
25,009,206100,3844,+42.466010,-070.955588
25,009,206200,5254,+42.469561,-070.948989
25,009,206300,3773,+42.473384,-070.940996
25,009,206400,5249,+42.477154,-070.933287
25,009,206500,3358,+42.471032,-070.932717
25,009,206600,4243,+42.467316,-070.928339
25,009,206700,4080,+42.463799,-070.935052
25,009,206800,3546,+42.466737,-070.943705
25,009,206900,3965,+42.460387,-070.939669
25,009,207000,2198,+42.461681,-070.955621
25,009,207100,3513,+42.459315,-070.965613
25,009,207200,2939,+42.458494,-070.961657
25,009,208101,5124,+42.451891,-071.000764
25,009,208102,3243,+42.448192,-070.999306
25,009,208200,5262,+42.458291,-071.012670
25,009,208300,7254,+42.474150,-071.007119
25,009,208400,5745,+42.476407,-071.034143
25,009,209100,6088,+42.520378,-071.019314
25,009,209200,5508,+42.544500,-071.048794
25,009,210100,6948,+42.557193,-071.009032
25,009,210200,5384,+42.542460,-071.007942
25,009,210300,9110,+42.541587,-070.966539
25,009,210400,6823,+42.530514,-070.945018
25,009,210500,6438,+42.510811,-070.959828
25,009,210600,4095,+42.509966,-070.943490
25,009,210700,4001,+42.521132,-070.925885
25,009,210800,4569,+42.528645,-070.925848
25,009,210900,3883,+42.534166,-070.919999
25,009,211100,3794,+42.556025,-070.918841
25,009,211200,6100,+42.563592,-070.938883
25,009,211300,6967,+42.579700,-070.933638
25,009,211401,3560,+42.578617,-070.978138
25,009,211402,6072,+42.569454,-070.956550
25,009,212100,8987,+42.597400,-071.008322
25,009,213100,7961,+42.679181,-071.010768
25,009,214100,6089,+42.641128,-070.948149
25,009,215101,4896,+42.616728,-070.839272
25,009,215102,2868,+42.621927,-070.882308
25,009,216100,4875,+42.599094,-070.870804
25,009,217100,7291,+42.577372,-070.878754
25,009,217201,4218,+42.562380,-070.900591
25,009,217202,3491,+42.550365,-070.898295
25,009,217300,4504,+42.560329,-070.883017
25,009,217400,5218,+42.545665,-070.882767
25,009,217500,6101,+42.553134,-070.871385
25,009,217600,8679,+42.567821,-070.838078
25,009,218100,5136,+42.579513,-070.767173
25,009,220101,4003,+42.651832,-070.614004
25,009,220102,2949,+42.666145,-070.630125
25,009,221100,4182,+42.654987,-070.663923
25,009,221300,4532,+42.611926,-070.644331
25,009,221400,3221,+42.618909,-070.655057
25,009,221500,2923,+42.614699,-070.663523
25,009,221600,2448,+42.622125,-070.671026
25,009,221700,2840,+42.614519,-070.671662
25,009,221800,1773,+42.631565,-070.681647
25,009,221901,3419,+42.590954,-070.705907
25,009,221902,3451,+42.627497,-070.709375
25,009,222100,3504,+42.628755,-070.784137
25,009,223100,3880,+42.685061,-070.823024
25,009,223200,3740,+42.679817,-070.838836
25,009,223300,5555,+42.681398,-070.884580
25,009,250100,2329,+42.707174,-071.160770
25,009,250200,5524,+42.704478,-071.183042
25,009,250300,2101,+42.710515,-071.175578
25,009,250400,3858,+42.717572,-071.173817
25,009,250500,3810,+42.716942,-071.169016
25,009,250600,5599,+42.719707,-071.162752
25,009,250700,4756,+42.715812,-071.157155
25,009,250800,6932,+42.715614,-071.146134
25,009,250900,2193,+42.711644,-071.154278
25,009,251000,1782,+42.711645,-071.158199
25,009,251100,2937,+42.711909,-071.169046
25,009,251200,1357,+42.709153,-071.168033
25,009,251300,3721,+42.702253,-071.173068
